color,red,green,blue
2,300,100,125,475
2,300,100,125,475
2,308,103,128,462
2,308,103,128,462
2,308,103,128,462
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,308,103,128,462
2,308,103,128,462
2,300,100,125,475
2,289,105,132,474
2,289,105,132,474
2,297,108,135,459
2,289,105,132,474
2,289,105,132,474
2,308,103,128,462
2,308,103,128,462
2,300,100,125,475
2,289,105,132,474
2,289,105,132,474
2,297,108,135,459
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,308,103,128,462
2,300,100,125,475
2,300,100,125,475
2,289,105,132,474
2,297,108,135,459
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,297,108,135,459
2,306,111,111,472
2,282,103,128,487
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,308,103,128,462
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,289,105,132,474
2,297,108,135,459
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,100,200,200,500
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,273,455
3,83,167,250,500
3,91,182,182,545
3,91,182,182,545
3,77,231,231,462
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,273,455
3,91,182,182,545
3,83,167,250,500
3,91,182,182,545
3,77,231,231,462
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
3,91,182,182,545
4,111,194,222,472
4,111,194,222,472
4,86,200,229,486
4,94,188,219,500
4,94,188,219,500
4,97,194,226,484
4,125,188,219,469
4,97,194,226,484
4,108,189,216,486
4,108,189,216,486
4,97,194,226,484
4,97,194,226,484
4,108,189,216,486
4,100,200,200,500
4,108,189,216,486
4,94,188,219,500
4,121,182,212,485
4,108,189,216,486
4,103,205,205,487
4,111,194,222,472
4,97,194,226,484
4,125,188,219,469
4,111,194,222,472
4,108,189,216,486
4,108,189,216,486
4,97,194,226,484
4,97,194,226,484
4,111,194,222,472
4,105,184,211,500
4,108,189,216,486
4,94,188,219,500
4,97,194,226,484
4,108,189,216,486
4,98,195,220,488
4,91,182,242,485
4,97,194,226,484
4,108,189,216,486
4,103,205,205,487
4,111,194,222,472
4,100,200,233,467
4,97,194,226,484
4,108,189,216,486
4,103,205,205,487
4,91,182,242,485
4,97,194,226,484
4,91,182,242,485
4,103,205,205,487
4,108,189,216,486
4,97,194,226,484
4,97,194,226,484
